species,A1,A23,body depth,closing lever,gape,jaw length,protrusion distance,lower premaxilla,maxilla,maxillary process,opening lever,orbit,cranial width,tooth number,tooth length,upper premaxilla,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Cyprinodon variegatus EdinburgTX,-0.006771,0.01584434,0.12736373,-0.0316021,-0.2280105,-0.1062818,0.07351398,0.0042283,-0.0792095,0.0127026,-0.1275245,0.03890084,-0.0414138,0.05235009,0.16133928,-0.071843,-0.029658722,0.144007141,0.106347795,-0.184403874,0.028385847,0.149610004,0.141903679,0.082490845
Cyprinodon variegatus FL gulf,-0.0324931,-0.0324448,0.08192215,-0.2382505,-0.1479826,-0.0381994,0.03521494,-0.2416707,-0.1547784,-0.1887104,-0.082521,0.09456845,-0.134131,0.01453665,0.04247628,-0.0584523,0.106763444,0.10313616,0.214618918,-0.11945192,0.050741341,0.090713661,0.078971189,0.135179563
Cyprinodon variegatus Grand Cayman Island,0.01991684,0.02908411,0.13118659,0.05247233,0.34407478,-0.0224149,0.02519865,-0.0131065,0.04327523,-0.1591767,0.12747776,0.10917788,0.04660959,0.038695,0.05181223,0.03736892,-0.206255907,0.092574835,0.160541109,-0.162461759,0.176963154,-0.046115223,0.152564356,0.177467859
Cyprinodon variegatus LA,0.0001935,0.01171336,0.13683905,-0.1909898,-0.0092121,-0.063609,0.11208647,-0.0097229,-0.0860286,0.08916549,-0.0601675,0.009935,0.09217925,0.03269001,0.1169612,0.02713662,-0.079590059,0.10322789,0.106157885,-0.247356783,0.061642313,0.11412897,0.145520775,0.155709315
Cyprinodon variegatus RI,-0.027019,-0.0122022,0.15301104,-0.0399377,0.01410934,-0.0994607,0.06777382,0.04181073,-0.1070889,0.089701,-0.0545701,-0.0141508,0.03043891,-0.064702,-0.0931394,-0.0402883,-0.038540376,0.062924111,0.034006787,-0.259692282,0.090704247,0.087333238,0.137794636,0.099465193
Cyprinodon variegatus SC,0.03107967,0.02645897,-0.1913112,-0.3791364,-0.0782476,-0.2189354,-0.001048,-0.2646038,-0.2876528,-0.2352503,-0.2069905,-0.1057356,-0.1761909,0.07378716,-0.2062437,-0.1095931,0.180250207,0.054475608,0.095339524,-0.060559851,-0.242610987,-0.043719467,0.033218765,0.231033348
Cyprinodon variegatus York VA,-0.0069043,-0.0045746,0.12164266,-0.0601887,-0.0406099,-0.0277214,0.16925234,-0.033786,-0.0361137,0.08075987,-0.2242377,-0.0007531,0.06808786,0.03764464,0.00756544,-0.1441031,-0.044146002,0.110363101,0.079562761,-0.267959677,0.063088348,0.116696001,0.070579018,0.08929491
Cyprinodon verecundus,-0.0208306,-0.1035887,-0.0852499,0.08475716,-0.0816798,0.0115987,0.08313049,-0.1791046,-0.1489999,-0.016573,0.17030324,0.06248283,0.00797695,-0.0457043,-0.3207235,-0.1182369,0.004199259,-0.054661925,0.087771185,-0.068748661,0.154200208,0.063330972,-0.109993389,0.010569932
Floridichthys carpio,-0.0094149,0.00193442,0.0895463,-0.0088477,0.09254524,0.11820393,0.15271461,0.25106537,0.16184628,-0.0225149,0.11179505,0.12145782,-0.040536,-0.1790495,0.074877,0.05721719,-0.26696668,0.037265108,0.111144336,-0.203635149,0.103130041,0.10329353,0.149956201,0.044971217
Jordanella floridae,-0.0691199,-0.1295456,0.09923935,0.09329128,-0.2116716,-0.0997178,0.11955972,-0.1422632,-0.1698927,0.24221328,-0.1293467,0.00736813,0.23347227,0.22777108,-0.1107197,-0.1472119,0.064846853,0.029657428,0.078833678,-0.244024347,0.21806353,0.143263936,-0.070913057,-0.045657354
Megupsilon aporus,0.08109097,0.05084418,0.14126644,0.27861691,0.18656267,0.06961987,-0.4120841,0.12160336,0.22064305,-0.0497604,0.2416484,0.06187453,-0.283582,-0.2304285,-0.1219565,0.04752055,-0.264556176,0.004651787,-0.021086843,0.057709986,0.115114035,-0.009852849,0.308432329,0.173751288
Orestias agassii,-0.097675,-0.0994766,-0.506194,0.18923048,-0.2252381,-0.0722899,-0.1074847,-0.1195146,-0.1186713,-0.385974,0.00243035,-0.1910124,-0.2986995,0.18826944,-0.8284311,-0.158821,0.139354127,-0.200857178,0.066789225,0.071556728,-0.283845544,-0.218307393,-0.232458581,-0.117288111
